movie,url,themes,violence,language,drug_use,nudity,sex,consumer_advice
Parasite,https://www.classification.gov.au/titles/parasite,moderate,strong,moderate,very mild,very mild,moderate,Strong violence
1917,https://www.classification.gov.au/titles/1917-0,strong,moderate,moderate,none,none,mild,Strong war themes
All Quiet on the Western Front,https://www.classification.gov.au/titles/im-westen-nichts-neues,strong,strong,moderate,none,none,mild,Strong war themes and bloody violence
American Fiction,https://www.classification.gov.au/titles/american-fiction,mild,moderate,strong,moderate,none,moderate,Strong coarse language
Anatomy of a Fall,https://www.classification.gov.au/titles/anatomy-fall,strong,strong,moderate,none,mild,moderate,"Strong themes, suicide, references and violence"
Annie Hall,https://www.classification.gov.au/titles/annie-hall,,,,,,,The content is moderate in impact
Avatar The Way of Water,https://www.classification.gov.au/titles/avatar-way-water,moderate,moderate,moderate,none,mild,none,"Science fiction themes, action violence and coarse language"
Bad Boys for Life,https://www.classification.gov.au/titles/bad-boys-for-life,moderate,strong,moderate,moderate,none,moderate,Strong violence and coarse language
Barbie,https://www.classification.gov.au/titles/barbie-1,mild,mild,mild,none,none,moderate,"Mild crude humour, innuendo, coarse language and slapstick violence"
Belfast,https://www.classification.gov.au/titles/belfast,mild,mild,mild,none,none,none,Mature themes and coarse language
Black Panther Wakanda Forever,https://www.classification.gov.au/titles/black-panther-wakanda-forever,moderate,moderate,mild,none,none,none,Mature themes and violence
Bob Marley One Love,https://www.classification.gov.au/titles/bob-marley-one-love,mild,moderate,moderate,mild,none,none,Violence and occasional coarse language
Chariots of Fire,https://www.classification.gov.au/titles/chariots-fire-1,,,,,,,The content is very mild in impact
CODA,https://www.classification.gov.au/titles/coda-1,mild,mild,moderate,mild,none,moderate,Coarse language and sex
Demon Slayer: Kimetsu No Yaiba - The Movie Mugen Train,https://www.classification.gov.au/titles/demon-slayer-kimetsu-no-yaiba-movie-mugen-train,strong,strong,mild,none,none,moderate,Strong supernatural themes and animated violence
Doctor Strange in the Multiverse of Madness,https://www.classification.gov.au/titles/doctor-strange-multiverse-madness,moderate,moderate,mild,none,none,none,Fantasy themes and action violence
Dolittle,https://www.classification.gov.au/titles/dolittle,mild,mild,very mild,none,none,none,Mild themes and violence
Dont Look Up,https://www.classification.gov.au/titles/dont-look-1,mild,mild,moderate,moderate,moderate,moderate,"Coarse language, sexual references, drug use and nudity"
Drive My Car,https://www.classification.gov.au/titles/drive-my-car-0,moderate,very mild,very mild,none,moderate,strong,Strong sex scenes
Dune,https://www.classification.gov.au/titles/dune-part-one,moderate,moderate,mild,none,none,very mild,Science fiction themes and violence
Dune: Part Two,https://www.classification.gov.au/titles/dune-part-two,moderate,moderate,mild,none,none,mild,Science fiction themes and violence
Elemental,https://www.classification.gov.au/titles/elemental-8,mild,none,mild,none,none,very mild,"Mild themes and occasional coarse language, some scenes may scare young children"
Elvis,https://www.classification.gov.au/titles/elvis-5,moderate,mild,moderate,mild,none,mild,Mature themes and coarse language
Everything Everywhere All At Once,https://www.classification.gov.au/titles/everything-everywhere-all-once,strong,strong,moderate,mild,none,strong,Strong violence and crude sexual humour
A Star is Born (2019),https://www.classification.gov.au/titles/star-born,moderate,mild,moderate,moderate,moderate,moderate,"Mature themes, coarse language, drug use and sex scenes"
Aladdin (2019),https://www.classification.gov.au/titles/aladdin,mild,mild,none,none,none,none,Mild fantasy themes
Aquaman,https://www.classification.gov.au/titles/aquaman,moderate,moderate,mild,none,none,none,Fantasy violence
Avengers Endgame,https://www.classification.gov.au/titles/avengers-endgame,mild,moderate,mild,none,none,none,Violence
Black Panther,https://www.classification.gov.au/titles/black-panther-5,moderate,moderate,mild,none,none,none,Action violence
BlacKKKlansman,https://www.classification.gov.au/titles/blackkklansman,moderate,moderate,strong,mild,none,moderate,Strong coarse language
Bohemian Rhapsody,https://www.classification.gov.au/titles/bohemian-rhapsody,mild,mild,moderate,mild,none,mild,Coarse language
Captain Marvel,https://www.classification.gov.au/titles/captain-marvel,moderate,moderate,mild,none,none,none,Action violence
F9 The Fast Saga,https://www.classification.gov.au/titles/fast-furious-9,moderate,moderate,mild,mild,none,mild,Action violence
Fast10,https://www.classification.gov.au/titles/fast-x-0,moderate,moderate,mild,mild,none,very mild,Action violence
Ford v Ferrari,https://www.classification.gov.au/titles/ford-v-ferrari,mild,mild,moderate,none,none,very mild,Coarse language
Frozen II,https://www.classification.gov.au/titles/frozen-ii,mild,very mild,very mild,none,none,none,Some scenes amy scare younger children
Ghostbusters Frozen Empire,https://www.classification.gov.au/titles/ghostbusters-frozen-empire,moderate,moderate,moderate,none,none,moderate,"Mild supernatural themes, sexual references and coarse language, some scenes may scare young children"
Godzilla vs Kong,https://www.classification.gov.au/titles/godzilla-vs-kong,moderate,moderate,mild,none,none,none,Science fiction themes and action violence
Godzilla x Kong The New Empire,https://www.classification.gov.au/titles/godzilla-x-kong-new-empire,moderate,moderate,mild,none,none,none,Science fiction themes and violence
Green Book,https://www.classification.gov.au/titles/green-book,mild,mild,moderate,none,none,mild,Coarse language
Guardians of the Galaxy Vol. 3,https://www.classification.gov.au/titles/guardians-galaxy-vol-3,moderate,moderate,moderate,mild,none,mild,"Intense scenes of violence, science fiction themes and coarse language"
Jojo Rabbit,https://www.classification.gov.au/titles/jojo-rabbit-0,moderate,moderate,moderate,none,none,mild,"Mature themes, violence and coarse language"
Joker,https://www.classification.gov.au/titles/joker-7,moderate,strong,moderate,none,moderate,moderate,Strong violence
Judas and the Black Messiah,https://www.classification.gov.au/titles/judas-and-black-messiah,moderate,strong,strong,none,none,none,Strong violence and coarse language
Jumanji The Next Level,https://www.classification.gov.au/titles/jumanji-next-level,moderate,moderate,moderate,none,none,very mild,"Mild fantasy violence, coarse language and crude humour"
Jurassic World Dominion,https://www.classification.gov.au/titles/jurassic-world-dominion,moderate,moderate,mild,none,none,none,Sustained threat and action violence
Killers of the Flower Moon,https://www.classification.gov.au/titles/killers-flower-moon,strong,moderate,moderate,none,none,mild,Strong injury detail and suicide references
King Richard,https://www.classification.gov.au/titles/king-richard,moderate,moderate,moderate,mild,none,moderate,"Mature themes, violence and coarse language"
Kung Fu Panda 4,https://www.classification.gov.au/titles/kung-fu-panda-4-0,mild,mild,mild,none,none,none,"Mild fantasy themes, animated violence and occasional coarse language"
Licorice Pizza,https://www.classification.gov.au/titles/licorice-pizza,mild,very mild,moderate,mild,none,mild,Coarse language and sexual references
Little Women,https://www.classification.gov.au/titles/little-women-7,very mild,very mild,none,none,none,none,Very mild themes
Maestro,https://www.classification.gov.au/titles/maestro-4,mild,very mild,moderate,moderate,none,mild,"Coarse language and drug use
"
Mank,https://www.classification.gov.au/titles/mank,moderate,very mild,moderate,none,none,mild,Mature themes and coarse language
Marriage Story,https://www.classification.gov.au/titles/marriage-story,moderate,none,moderate,mild,none,moderate,"Mature themes, coarse language and sexual references"
Minari,https://www.classification.gov.au/titles/minari,moderate,very mild,moderate,none,none,none,Mild themes and coarse language
Minions The Rise of Gru,https://www.classification.gov.au/titles/minions-rise-gru,moderate,moderate,none,none,very mild,none,Mild themes and animated violence
Mission Impossible - Dead Reckoning Part One,https://www.classification.gov.au/titles/mission-impossible-dead-reckoning-part-one,moderate,moderate,mild,none,none,very mild,Action violence
Nightmare Alley,https://www.classification.gov.au/titles/nightmare-alley,strong,strong,moderate,mild,very mild,moderate,Strong violence and injury detail
No Time To Die,https://www.classification.gov.au/titles/no-time-die-0,moderate,moderate,moderate,none,none,mild,"Mature themes, action violence and occasional coarse language"
Nomadland,https://www.classification.gov.au/titles/nomadland,mild,none,mild,none,moderate,none,Nudity
Once Upon a Time in Hollywood,https://www.classification.gov.au/titles/once-upon-time-hollywood,moderate,strong,moderate,moderate,none,moderate,Strong violence and coarse language
Oppenheimer,https://www.classification.gov.au/titles/oppenheimer,moderate,very mild,moderate,none,moderate,strong,Strong sex and a suicide scene
Past Lives,https://www.classification.gov.au/titles/past-lives,very mild,none,moderate,none,none,very mild,Coarse language
Poor Things,https://www.classification.gov.au/titles/poor-things,strong,mild,strong,mild,strong,strong,"Strong themes, sex, coarse language and nudity"
Promising Young Woman,https://www.classification.gov.au/titles/promising-young-woman,moderate,strong,strong,moderate,none,moderate,Strong coarse language and violence
Puss In Boots The Last Wish,https://www.classification.gov.au/titles/puss-boots-last-wish,moderate,moderate,moderate,none,none,none,"Mild themes, animated violence and coarse language, some scenes may scare young children"
Shang-Chi and The Legend of the Ten Rings,https://www.classification.gov.au/titles/shang-chi-and-legend-ten-rings,moderate,moderate,mild,very mild,none,none,Fantasy themes and violence
Sing 2,https://www.classification.gov.au/titles/sing-2-0,mild,mild,very mild,none,none,very mild,Some scenes may scare young children
Sonic the Hedgehog,https://www.classification.gov.au/titles/sonic-hedgehog-6,mild,mild,very mild,none,none,none,"Comedic action violence
"
Sound of Metal,https://www.classification.gov.au/titles/sound-metal,moderate,none,moderate,mild,mild,mild,"Mature themes and coarse language
"
Spider-Man Across the Spider-Verse,https://www.classification.gov.au/titles/spider-man-across-spider-verse,mild,mild,mild,none,none,none,"Mild science fiction themes, animated violence and coarse language
"
Spider-Man Far From Home,https://www.classification.gov.au/titles/spider-man-far-home,moderate,moderate,mild,none,none,none,Action violence
Spider-Man No Way Home,https://www.classification.gov.au/titles/spider-man-no-way-home,mild,moderate,mild,none,none,very mild,Action violence
Star Wars Episode IX - The Rise of Skywalker,https://www.classification.gov.au/titles/star-wars-episode-ix-rise-skywalker,moderate,moderate,very mild,none,none,none,Science fiction violence
Tár,https://www.classification.gov.au/titles/tar-2,moderate,moderate,moderate,none,moderate,mild,"Mature themes, coarse language and brief nudity"
Tenet,https://www.classification.gov.au/titles/tenet,moderate,moderate,moderate,none,none,very mild,"Science fiction themes, violence and coarse language"
The Banshees of Inisherin,https://www.classification.gov.au/titles/banshees-inisherin,moderate,mild,moderate,none,moderate,mild,"Mature themes, coarse language, injury detail and brief nudity"
The Batman,https://www.classification.gov.au/titles/batman-7,moderate,moderate,moderate,mild,none,mild,"Sustained threat, violence and coarse language"
